电影名,上映年份,上映时间,电影标签,电影时长,电影评分,电影语言,导演,作者,电影简介,电影 slogan
Swapped,2026,,Adventure,102,90,-,Nathan Greno,Christian Magalhaes,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",Transform your destiny.
The Shawshank Redemption,1994,,Drama,142,87,"$25,000,000.00",Frank Darabont,Stephen King,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",Fear can hold you prisoner. Hope can set you free.
The Godfather,1972,,Drama,175,87,"$6,000,000.00",Francis Ford Coppola,Mario Puzo,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",An offer you can't refuse.
Project Hail Mary,2026,,Science Fiction,157,86,"$200,000,000.00",Phil Lord,Christopher Miller,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",Believe in the Hail Mary.
The Godfather Part II,1974,,Drama,202,86,"$13,000,000.00",Francis Ford Coppola,Mario Puzo,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",The rise and fall of the Corleone empire.
Schindler's List,1993,,Drama,195,86,"$22,000,000.00",Steven Spielberg,Thomas Keneally,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"Whoever saves one life, saves the world entire."
12 Angry Men,1957,,Drama,97,86,"$397,751.00",Reginald Rose,Sidney Lumet,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",It explodes like 12 sticks of dynamite!
Remarkably Bright Creatures,2026,,Drama,114,86,-,Olivia Newman,John Whittington,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.",Brighter together.
Spirited Away,2001,,Animation,125,85,Japanese,Hayao Miyazaki,,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",Beyond the tunnel was a mysterious town.
The Dark Knight,2008,,Action,152,85,"$185,000,000.00",Christopher Nolan,Bob Kane,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Welcome to a world without rules.
Dilwale Dulhania Le Jayenge,1995,,Comedy,190,85,Hindi,Aditya Chopra,,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.","Come… Fall In love, All Over Again…"
The Green Mile,1999,,Fantasy,189,85,"$60,000,000.00",Frank Darabont,Stephen King,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",Paul Edgecomb didn't believe in miracles. Until the day he met one.
